lake,system,month,WL,RegFlow,R,P,Evap,SWE,T
Kalamalka,Okanagan,1994-01-01,0.09578571428571436,0.505357142857143,-0.12214197080798606,-7.004141738954267,-0.1942647088851247,-4.1558220982551575,3.6447710309709818
Kalamalka,Okanagan,1994-02-01,0.07070370370370416,-0.4554642857142857,-0.9162881345088989,30.13677966789276,-0.7959776142212962,-6.85584438698632,-2.2199532645089284
Kalamalka,Okanagan,1994-03-01,0.11757142857142888,0.4565357142857144,0.9807029299346528,-15.691059088567272,-2.8816733933386534,-0.8558813216430678,0.1999337332589286
Kalamalka,Okanagan,1994-04-01,0.18342857142857216,1.7565,13.54432413271362,5.019593331131283,2.579216130210888,-46.928157348052736,1.1452549525669644
Kalamalka,Okanagan,1994-05-01,0.17022222222222272,1.6785714285714288,-13.779343087143005,-13.294325112448341,2.9580532988932475,-10.665108202634396,0.4063720703125
Kalamalka,Okanagan,1994-06-01,-0.0032500000000004192,-1.4588928571428574,-7.871698658813592,12.54437861332137,4.6842265874147415,-0.03310812649776856,-0.829986572265625
Kalamalka,Okanagan,1994-07-01,0.023464285714284827,-1.0613214285714285,-2.8351716537144966,-15.945155432356323,-5.224852631467257,-0.0005609848692245123,1.2051740373883923
Kalamalka,Okanagan,1994-08-01,0.061370370370370964,-0.5433928571428572,-0.5129930068505928,29.468220377176685,9.9593645843145,-6.010552563598789e-06,-0.39486258370535765
Kalamalka,Okanagan,1994-09-01,0.06688888888888922,0.6170357142857142,-1.2884988349729358,-31.511387320019175,-0.20564350831721612,-0.017015873906979704,1.9307512555803577
Kalamalka,Okanagan,1994-10-01,0.0024285714285703364,-0.1746071428571428,-1.1508800738998364,2.661829107507529,-1.0801393738282599,-0.061463864767574705,0.25042288643973176
Kalamalka,Okanagan,1994-11-01,0.004285714285714448,-0.353,-2.753939256113622,-11.480719341696911,-0.6834278298941037,23.708620832102106,-3.752362932477679
Kalamalka,Okanagan,1994-12-01,0.004000000000000448,-0.3885185185185185,-1.7860094365594836,8.389147998834105,-2.9733675980457557,43.02330397897296,-1.4537263093171298
Kalamalka,Okanagan,1995-01-01,0.024785714285714633,-0.589642857142857,-2.393345033072235,-7.994608302916667,-1.540079147421888,41.57830774784088,-2.0616498674665182
Kalamalka,Okanagan,1995-02-01,0.07670370370370438,-0.6424642857142857,-2.050264987961522,1.2563297246483032,1.639421605172434,41.43256055457252,1.0215018136160716
Kalamalka,Okanagan,1995-03-01,0.09157142857142908,-0.16946428571428573,-5.478697884557603,-5.082092626253143,-1.5683243940916984,33.19820429065399,-1.3252127511160714
Kalamalka,Okanagan,1995-04-01,0.024428571428572354,0.34650000000000003,-15.604226105746683,-7.421354717475232,-8.01297046044575,31.272577803714995,-1.1563807896205356
Kalamalka,Okanagan,1995-05-01,-0.04077777777777758,0.3085714285714287,-13.493512971243561,-32.345900912852294,3.1355594234940156,3.2758149461317636,0.3140869140625
Kalamalka,Okanagan,1995-06-01,-0.11525000000000052,-1.9818928571428573,-3.4770039617017474,19.33477490508396,0.4447018727660179,0.052890860846968986,0.157806396484375
Kalamalka,Okanagan,1995-07-01,-0.05053571428571502,-1.1933214285714286,0.08672329568071291,21.733915465509718,-0.3962717434790477,-0.0005609848692245123,-1.7115740094866077
Kalamalka,Okanagan,1995-08-01,0.040370370370371056,-0.5313928571428572,1.604820237844251,29.093651634476764,16.16862886086372,-6.010552563598789e-06,-4.542201450892858
