lake,method,horizon_months,rmse,mae,nse,n_origins,min_exog_lag,requires_foresight
Kalamalka_Lake,XGBoost_Stepwise,6,0.18457111517309185,0.1564550601897048,-0.9909624249237765,32,1.0,True
Kalamalka_Lake,XGBoost_Stepwise,12,0.2185480407007491,0.20060347157071076,-2.780230012190383,26,1.0,True
Kalamalka_Lake,XGBoost_CCM_neighbor,1,0.09670911828264404,0.07907192755301908,0.44915193637163253,27,1.0,False
Kalamalka_Lake,XGBoost_CCM_neighbor,3,0.18545638424281205,0.15831897333456293,-0.7788740967973367,21,1.0,True
Kalamalka_Lake,XGBoost_CCM_neighbor,6,0.1583008576295391,0.15208772126326364,-0.6241153929174006,12,1.0,True
Kalamalka_Lake,XGBoost_CCM_neighbor,12,,,,0,1.0,True
Kiskitto_Lake,SARIMA,1,0.07704907399297044,0.0512571030985817,0.7581186929929784,37,,False
Kiskitto_Lake,SARIMA,3,0.18610256729823482,0.14483713091656267,-0.39384300771383995,35,,False
Kiskitto_Lake,SARIMA,6,0.260855260117349,0.21462998784276976,-1.4653972708682534,32,,False
Kiskitto_Lake,SARIMA,12,0.2191769442050296,0.19505770788940552,-3.126378236216353,26,,False
Kiskitto_Lake,Persistence,1,0.08023829384012936,0.0514142013342653,0.7372963457686039,25,,False
Kiskitto_Lake,Persistence,3,0.18872722114109472,0.14728480720299195,-0.4571997492665454,25,,False
Kiskitto_Lake,Persistence,6,0.25696811433010447,0.21210965870344461,-1.3924682818385907,25,,False
Kiskitto_Lake,Persistence,12,0.21901123961322455,0.19684615384615148,-3.1201412540201554,25,,False
Kiskitto_Lake,XGBoost_AR_only,1,0.087714923511572,0.06141802476410163,0.6865166800363462,32,,False
Kiskitto_Lake,XGBoost_AR_only,3,0.17388571220523086,0.1323464755105913,-0.2168496712822241,32,,False
Kiskitto_Lake,XGBoost_AR_only,6,0.2559533778198832,0.1918286197390722,-1.3736104439856658,32,,False
Kiskitto_Lake,XGBoost_AR_only,12,0.2662723029362729,0.220089239665253,-5.09019625319226,26,,False
Kiskitto_Lake,XGBoost_all_vars,1,0.11679445441721092,0.09152447466235476,0.4442084955180938,32,1.0,False
Kiskitto_Lake,XGBoost_all_vars,3,0.24986528301033348,0.20204265672659005,-1.5125861910343228,30,1.0,True
Kiskitto_Lake,XGBoost_all_vars,6,0.36182341904911003,0.3225070324896146,-3.7433050957606904,27,1.0,True
Kiskitto_Lake,XGBoost_all_vars,12,0.4473955094472686,0.3732805778067136,-16.193430615076217,21,1.0,True
Kiskitto_Lake,SARIMAX_CCM_direct,1,0.07254916373524306,0.047855277923046204,0.785546923445852,37,1.0,False
Kiskitto_Lake,SARIMAX_CCM_direct,3,0.18038348010881244,0.141813886611502,-0.30949141352496157,35,1.0,True
Kiskitto_Lake,SARIMAX_CCM_direct,6,0.2565458751780152,0.21246241122753678,-1.3846123357615445,32,1.0,True
Kiskitto_Lake,SARIMAX_CCM_direct,12,0.21241928490190767,0.19303061686299403,-2.875851989000737,26,1.0,True
Kiskitto_Lake,XGBoost_CCM_direct,1,0.0688665202983444,0.05317978794592667,0.8067659135114904,32,1.0,False
Kiskitto_Lake,XGBoost_CCM_direct,3,0.12175242077188834,0.09233286451795922,0.4034259723757744,32,1.0,True
Kiskitto_Lake,XGBoost_CCM_direct,6,0.13817888280531407,0.10100421711759336,0.30821511674452806,32,1.0,True
Kiskitto_Lake,XGBoost_CCM_direct,12,0.1112118856006117,0.09785054461688411,-0.062384455210656276,26,1.0,True
Kiskitto_Lake,SARIMAX_CCM_ancestors,1,0.07254916373524306,0.047855277923046204,0.785546923445852,37,1.0,False
Kiskitto_Lake,SARIMAX_CCM_ancestors,3,0.18038348010881244,0.141813886611502,-0.30949141352496157,35,1.0,True
Kiskitto_Lake,SARIMAX_CCM_ancestors,6,0.2565458751780152,0.21246241122753678,-1.3846123357615445,32,1.0,True
Kiskitto_Lake,SARIMAX_CCM_ancestors,12,0.21241928490190767,0.19303061686299403,-2.875851989000737,26,1.0,True
Kiskitto_Lake,XGBoost_CCM_ancestors,1,0.0688665202983444,0.05317978794592667,0.8067659135114904,32,1.0,False
Kiskitto_Lake,XGBoost_CCM_ancestors,3,0.12175242077188834,0.09233286451795922,0.4034259723757744,32,1.0,True
Kiskitto_Lake,XGBoost_CCM_ancestors,6,0.13817888280531407,0.10100421711759336,0.30821511674452806,32,1.0,True
Kiskitto_Lake,XGBoost_CCM_ancestors,12,0.1112118856006117,0.09785054461688411,-0.062384455210656276,26,1.0,True
Kiskitto_Lake,XGBoost_Stepwise,1,0.08727851496811981,0.060249273626219235,0.689628270762008,32,1.0,False
Kiskitto_Lake,XGBoost_Stepwise,3,0.17398156891849112,0.14359545696336665,-0.21819164882677033,30,1.0,True
Kiskitto_Lake,XGBoost_Stepwise,6,0.2458682709059002,0.19865331198165623,-1.1902449498372785,27,1.0,True
Kiskitto_Lake,XGBoost_Stepwise,12,0.23142075553268143,0.19657779150658536,-3.6002762603229694,21,1.0,True
Lake_of_the_Woods,SARIMA,1,0.15658806237350148,0.09883214232263035,0.7599936865527873,37,,False
Lake_of_the_Woods,SARIMA,3,0.34168507946177645,0.235862910646122,-0.1122053321283385,35,,False
Lake_of_the_Woods,SARIMA,6,0.39107872273906075,0.2648073285055995,-0.3352009473201636,32,,False
Lake_of_the_Woods,SARIMA,12,0.1550627487805068,0.11878044168673191,-0.8245129885838858,26,,False
Lake_of_the_Woods,Persistence,1,0.18222371246901745,0.11356652276312794,0.6749762127801953,37,,False
Lake_of_the_Woods,Persistence,3,0.414581722214129,0.2836772315433645,-0.6373941942120216,35,,False
Lake_of_the_Woods,Persistence,6,0.5461872962645529,0.3794525420679715,-1.604362569656851,32,,False
Lake_of_the_Woods,Persistence,12,0.4124384773467997,0.2465288461538386,-11.90774426451595,26,,False
Lake_of_the_Woods,XGBoost_AR_only,1,0.21029266135183586,0.11539514622958714,0.5671338750909052,37,,False
Lake_of_the_Woods,XGBoost_AR_only,3,0.3471852782339724,0.21743374670188423,-0.14830048002605634,35,,False
Lake_of_the_Woods,XGBoost_AR_only,6,0.3584729083484121,0.2132841802713319,-0.12184003430186374,32,,False
Lake_of_the_Woods,XGBoost_AR_only,12,0.11755789528876921,0.08688053353756686,-0.048662182995128145,26,,False
Lake_of_the_Woods,XGBoost_all_vars,1,0.22394163619866878,0.13114951488305948,0.5577442469185754,32,1.0,False
Lake_of_the_Woods,XGBoost_all_vars,3,0.29075621803990104,0.18285530730757577,0.27564680387247587,30,1.0,True
Lake_of_the_Woods,XGBoost_all_vars,6,0.29176268665647487,0.18060583531326688,0.3400243878144118,27,1.0,True
Lake_of_the_Woods,XGBoost_all_vars,12,0.11330858764887701,0.09368163484673514,0.08710736027953347,21,1.0,True
Lake_of_the_Woods,XGBoost_CCM_direct,1,0.22711186331183952,0.13309703199185563,0.5451340395111737,32,1.0,False
Lake_of_the_Woods,XGBoost_CCM_direct,3,0.35072026045094046,0.22429730448139557,-0.053935585075240544,30,1.0,True
Lake_of_the_Woods,XGBoost_CCM_direct,6,0.3687991392266738,0.24028187216493666,-0.05450388981128995,27,1.0,True
Lake_of_the_Woods,XGBoost_CCM_direct,12,0.12402319044035814,0.08651728466201987,-0.09370412830611285,21,1.0,True
Lake_of_the_Woods,XGBoost_CCM_ancestors,1,0.2397008915478286,0.13527080403511604,0.49330911016824397,32,1.0,False
Lake_of_the_Woods,XGBoost_CCM_ancestors,3,0.3522264390733616,0.21378699324448008,-0.0630073384246197,30,1.0,True
Lake_of_the_Woods,XGBoost_CCM_ancestors,6,0.36785470910448664,0.2253787587953361,-0.04911000483649186,27,1.0,True
Lake_of_the_Woods,XGBoost_CCM_ancestors,12,0.11216517055229933,0.07871054538257265,0.10543872247285069,21,1.0,True
Lake_of_the_Woods,XGBoost_Stepwise,1,0.2154302939544454,0.12699497264598847,0.5907229945403969,32,1.0,False
Lake_of_the_Woods,XGBoost_Stepwise,3,0.2666850239270027,0.1707282684072652,0.3906180106777071,30,1.0,True
Lake_of_the_Woods,XGBoost_Stepwise,6,0.28073836090128873,0.17891605087443083,0.38895680974716795,27,1.0,True
Lake_of_the_Woods,XGBoost_Stepwise,12,0.12666324024239972,0.10530504384296419,-0.14076251123146677,21,1.0,True
Lake_of_the_Woods,XGBoost_CCM_neighbor,1,0.23790703666212537,0.13050786911100687,0.5008646001196846,32,1.0,False
Lake_of_the_Woods,XGBoost_CCM_neighbor,3,0.31206940368322744,0.19145508865739583,0.1655607184504393,30,1.0,True
Lake_of_the_Woods,XGBoost_CCM_neighbor,6,0.3212883717965007,0.19663877812059094,0.19968970436591493,27,1.0,True
Lake_of_the_Woods,XGBoost_CCM_neighbor,12,0.11958730189470586,0.09394438836265062,-0.016867080860435646,21,1.0,True
Okanagan_Lake,SARIMA,1,0.07447932287829645,0.05071898670954519,0.21445158514535878,37,,False
Okanagan_Lake,SARIMA,3,0.08891653219970115,0.07367045692413672,-0.2527462194927623,35,,False
Okanagan_Lake,SARIMA,6,0.09605646221983445,0.0778788301452984,-0.4376545393209308,32,,False
Okanagan_Lake,SARIMA,12,0.09735543083618739,0.08275111298898966,-1.5276689446925076,26,,False
Okanagan_Lake,Persistence,1,0.07816639352905595,0.05904836979836977,0.13474988265889498,37,,False
Okanagan_Lake,Persistence,3,0.11062619660839512,0.09506519274376411,-0.939161724190622,35,,False
Okanagan_Lake,Persistence,6,0.1414516074974662,0.106805183531746,-2.117576647060285,32,,False
Okanagan_Lake,Persistence,12,0.13050773628704632,0.10442307692307688,-3.5422636637454925,26,,False
Okanagan_Lake,XGBoost_AR_only,1,0.08041817360707174,0.054304181329272595,0.08418041161567102,37,,False
Okanagan_Lake,XGBoost_AR_only,3,0.09785545985401489,0.07900291324826016,-0.5172885900190027,35,,False
Okanagan_Lake,XGBoost_AR_only,6,0.11980737044358467,0.09669245293220716,-1.2364976060870196,32,,False
Okanagan_Lake,XGBoost_AR_only,12,0.09873896896863583,0.07144938394435255,-1.6000218793662726,26,,False
Okanagan_Lake,SARIMAX_all_vars,1,0.06651807519243153,0.04293787061356752,0.37341374366129887,37,1.0,False
Okanagan_Lake,SARIMAX_all_vars,3,0.0822406482966496,0.06664567475311543,-0.07169478641362592,35,1.0,True
Okanagan_Lake,SARIMAX_all_vars,6,0.07883061886502798,0.06472989715132321,0.0317416807100217,32,1.0,True
Okanagan_Lake,SARIMAX_all_vars,12,0.07019927974299046,0.058885415999996145,-0.3142111243257335,26,1.0,True
Okanagan_Lake,XGBoost_all_vars,1,0.07743364071026658,0.048550094033495174,0.15089602226727117,37,1.0,False
Okanagan_Lake,XGBoost_all_vars,3,0.08374820424991938,0.05779448281488385,-0.1113454472981592,35,1.0,True
Okanagan_Lake,XGBoost_all_vars,6,0.08286711810943952,0.05736399701402086,-0.06995579716046074,32,1.0,True
Okanagan_Lake,XGBoost_all_vars,12,0.07817338191508434,0.049293716834610146,-0.6297373846429652,26,1.0,True
Okanagan_Lake,SARIMAX_CCM_direct,1,0.07430178359161776,0.049133347633275745,0.21819220670050843,37,1.0,False
Okanagan_Lake,SARIMAX_CCM_direct,3,0.0963857774365878,0.07726696331539243,-0.4720547974712437,35,1.0,True
Okanagan_Lake,SARIMAX_CCM_direct,6,0.10679222666095504,0.0842755229031262,-0.7769722622434156,32,1.0,True
