lake,method,rmse,mae,nse,pbias,n_eval,n_selected_vars,arima_order,arima_seasonal_order,min_exog_lag,n_foresight_free_months,frac_foresight_free,status
Rainy_Lake,SARIMAX_all_vars,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Rainy_Lake,XGBoost_all_vars,0.24522976222450615,0.14701858721655886,-0.002111456683747903,49.75240158710471,31.0,6.0,,,1.0,1.0,0.02702702702702703,
Rainy_Lake,SARIMAX_CCM_direct,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Rainy_Lake,XGBoost_CCM_direct,0.26962566986995057,0.1553543686557334,-0.21141276977861234,94.96822684503516,31.0,1.0,,,1.0,1.0,0.02702702702702703,
Rainy_Lake,SARIMAX_CCM_ancestors,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Rainy_Lake,XGBoost_CCM_ancestors,0.32001549588503947,0.20267652850346593,-0.7065212079929513,144.08208525618267,31.0,6.0,,,1.0,1.0,0.02702702702702703,
Rainy_Lake,SARIMAX_Stepwise,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Rainy_Lake,XGBoost_Stepwise,0.24632031862536088,0.15357135388710724,-0.011044214840256528,31.5970612065792,31.0,4.0,,,1.0,1.0,0.02702702702702703,
Rainy_Lake,SARIMAX_CCM_neighbor,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Rainy_Lake,XGBoost_CCM_neighbor,0.29422050122546606,0.18447779300971992,-0.4424990478404571,126.22984955406811,31.0,7.0,,,1.0,1.0,0.02702702702702703,
