unit,n_connected,n_unconnected,median_connected,median_unconnected,frac_sig_connected,frac_sig_unconnected,mannwhitney_u,mannwhitney_p,effect_size_auc
lake pairs (main),7,38,0.531705,0.37664000000000003,0.7142857142857143,0.39473684210526316,201.0,0.032353642450069,0.7556390977443609
directed edges (reference),14,76,0.57085,0.329675,0.5714285714285714,0.2236842105263158,799.0,0.0030086277873796158,0.7509398496240601
