lake,method_1,method_2,horizon_months,dm_stat,p_value,n,p_fdr
Kalamalka_Lake,SARIMAX_CCM_ancestors,Persistence,3,1.0230165967387708,0.3062999987322219,35,0.6396316470689853
Kalamalka_Lake,SARIMAX_CCM_ancestors,Persistence,6,1.106880415177248,0.26834563445654736,32,0.5917820945300017
Kalamalka_Lake,SARIMAX_CCM_ancestors,Persistence,12,1.175435887617663,0.23982037282035362,26,0.5704298867798411
Kalamalka_Lake,XGBoost_CCM_ancestors,SARIMAX_CCM_ancestors,1,2.8503117874267216,0.0043676391289673155,37,0.03930875216070584
Kalamalka_Lake,XGBoost_CCM_ancestors,SARIMAX_CCM_ancestors,3,1.1477152825954215,0.25108612011187614,35,0.5903994550438507
Kalamalka_Lake,XGBoost_CCM_ancestors,SARIMAX_CCM_ancestors,6,1.2070426470950197,0.227415720401126,32,0.5609587769894441
Kalamalka_Lake,XGBoost_CCM_ancestors,SARIMAX_CCM_ancestors,12,1.12709323072919,0.2597030650965233,26,0.5903994550438507
Kalamalka_Lake,XGBoost_all_vars,SARIMAX_all_vars,1,1.8885545758888895,0.05895153848028922,37,0.28044089019909013
Kalamalka_Lake,XGBoost_all_vars,SARIMAX_all_vars,3,-0.7730564907083519,0.439488949142826,35,0.7139015612905417
Kalamalka_Lake,XGBoost_all_vars,SARIMAX_all_vars,6,-0.7546175478438274,0.45047849163785036,32,0.7177480273464315
Kalamalka_Lake,XGBoost_all_vars,SARIMAX_all_vars,12,-0.8191312213862884,0.41271155054968034,26,0.6952470355627449
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,1,0.0,1.0,24,1.0
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,3,0.0,1.0,22,1.0
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,6,0.0,1.0,19,1.0
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,12,0.0,1.0,13,1.0
Kiskitto_Lake,SARIMAX_CCM_ancestors,SARIMAX_CCM_direct,1,0.0,1.0,24,1.0
Kiskitto_Lake,SARIMAX_CCM_ancestors,SARIMAX_CCM_direct,3,0.0,1.0,22,1.0
Kiskitto_Lake,SARIMAX_CCM_ancestors,SARIMAX_CCM_direct,6,0.0,1.0,19,1.0
Kiskitto_Lake,SARIMAX_CCM_ancestors,SARIMAX_CCM_direct,12,0.0,1.0,13,1.0
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,1,-1.4230765904214133,0.1547139537090958,24,0.4860353451427255
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,3,-3.7846967097821973,0.00015389614164251775,22,0.0026972323772083374
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,6,-3.2392037691054574,0.0011986390576801398,19,0.013763682972671951
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,12,-1.6385084556177025,0.10131567162158173,13,0.4064833572287556
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,1,-1.6131435549535236,0.10671332312964421,24,0.4132039139787386
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,3,-2.9029550869741705,0.0036965964640092164,22,0.03419351729208525
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,6,-2.4728251259001572,0.013404971911491925,19,0.0858433778178233
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,12,-2.0426604842076452,0.041086059137741104,13,0.21377590145105918
Kiskitto_Lake,XGBoost_CCM_ancestors,Persistence,1,-1.1252095124999446,0.26050026312495467,23,0.5903994550438507
Kiskitto_Lake,XGBoost_CCM_ancestors,Persistence,3,-2.3406853486957924,0.019248381540780235,21,0.11374452112846012
Kiskitto_Lake,XGBoost_CCM_ancestors,Persistence,6,-3.4947291296541967,0.0004745430910637616,19,0.006870558666270983
Kiskitto_Lake,XGBoost_CCM_ancestors,Persistence,12,-4.094052452877985,4.238983481696934e-05,13,0.0008303420584735759
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_all_vars,1,-3.1111190836607157,0.0018637976126607558,24,0.018824841832287043
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_all_vars,3,-2.620073925299828,0.008791070772248277,22,0.06228567164167396
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_all_vars,6,-2.7220289615603366,0.00648824560398098,19,0.05024618107268991
Kiskitto_Lake,XGBoost_CCM_ancestors,XGBoost_all_vars,12,-1.5341487020734645,0.12499307425435213,13,0.4532843382795041
Kiskitto_Lake,XGBoost_CCM_direct,XGBoost_AR_only,1,-1.6131435549535236,0.10671332312964421,24,0.4132039139787386
Kiskitto_Lake,XGBoost_CCM_direct,XGBoost_AR_only,3,-2.9029550869741705,0.0036965964640092164,22,0.03419351729208525
Kiskitto_Lake,XGBoost_CCM_direct,XGBoost_AR_only,6,-2.4728251259001572,0.013404971911491925,19,0.0858433778178233
Kiskitto_Lake,XGBoost_CCM_direct,XGBoost_AR_only,12,-2.0426604842076452,0.041086059137741104,13,0.21377590145105918
Kiskitto_Lake,SARIMAX_CCM_ancestors,SARIMA,1,-1.3840605483346007,0.16633991566303763,24,0.49062976258874474
Kiskitto_Lake,SARIMAX_CCM_ancestors,SARIMA,3,-1.5285513405253572,0.1263757067588298,22,0.4532843382795041
Kiskitto_Lake,SARIMAX_CCM_ancestors,SARIMA,6,-2.8364361603173176,0.004562009766418074,19,0.039537812540568165
Kiskitto_Lake,SARIMAX_CCM_ancestors,SARIMA,12,-2.0300202417830544,0.042354481794840915,13,0.2138878974216279
Kiskitto_Lake,SARIMAX_CCM_ancestors,Persistence,1,-1.5273851508997465,0.12666526667093847,23,0.4532843382795041
Kiskitto_Lake,SARIMAX_CCM_ancestors,Persistence,3,-1.84852445011135,0.0645265106834767,21,0.29434695969311975
Kiskitto_Lake,SARIMAX_CCM_ancestors,Persistence,6,-0.09145067021917945,0.9271345013772028,19,1.0
Kiskitto_Lake,SARIMAX_CCM_ancestors,Persistence,12,-0.8953368967101838,0.3706070222818205,13,0.6780886726365177
Kiskitto_Lake,XGBoost_CCM_ancestors,SARIMAX_CCM_ancestors,1,-0.5371395829529357,0.5911712006016856,24,0.8077253075475525
Kiskitto_Lake,XGBoost_CCM_ancestors,SARIMAX_CCM_ancestors,3,-2.2535100551423612,0.024227007454873828,22,0.1390964393529825
Kiskitto_Lake,XGBoost_CCM_ancestors,SARIMAX_CCM_ancestors,6,-3.296675900175921,0.0009783632874476034,19,0.011748330296019174
Kiskitto_Lake,XGBoost_CCM_ancestors,SARIMAX_CCM_ancestors,12,-5.764873262655537,8.171922694089062e-09,13,2.2024737556824135e-07
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_CCM_direct,1,0.9255464324380029,0.3546817427303073,32,0.6710739791431383
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_CCM_direct,3,0.22632014426032074,0.8209524319646007,30,0.9514367774432793
