lake,method,selected_vars,selected_lags,old_direct_lags,new_direct_lags,old_neighbor_lags,new_neighbor_lags
Okanagan_Lake,CCM_neighbor,"Kalamalka_Lake,Playgreen_Lake,Rainy_Lake","{""_neighbor_Kalamalka_Lake"": 1, ""_neighbor_Playgreen_Lake"": 1, ""_neighbor_Rainy_Lake"": 6}","{""R"": 0, ""RegFlow"": 1}","{""R"": 2, ""RegFlow"": 1}","{""Kalamalka_Lake"": 1, ""Playgreen_Lake"": 1, ""Rainy_Lake"": 6}","{""Kalamalka_Lake"": 1, ""Playgreen_Lake"": 1, ""Rainy_Lake"": 6}"
Playgreen_Lake,CCM_direct,"P,R,RegFlow","{""P"": 6, ""R"": 1, ""RegFlow"": 1}","{""P"": 6, ""R"": 1, ""RegFlow"": 0}","{""P"": 6, ""R"": 1, ""RegFlow"": 1}","{""Kiskitto_Lake"": 1, ""Sipiwesk_Lake"": 0, ""Split_Lake"": 0}","{""Sipiwesk_Lake"": 1, ""Split_Lake"": 1}"
Playgreen_Lake,CCM_ancestors,"Evap,P,R,RegFlow,SWE,T","{""Evap"": 11, ""P"": 6, ""R"": 1, ""RegFlow"": 1, ""SWE"": 2, ""T"": 1}","{""P"": 6, ""R"": 1, ""RegFlow"": 0}","{""P"": 6, ""R"": 1, ""RegFlow"": 1}","{""Kiskitto_Lake"": 1, ""Sipiwesk_Lake"": 0, ""Split_Lake"": 0}","{""Sipiwesk_Lake"": 1, ""Split_Lake"": 1}"
Playgreen_Lake,Stepwise,"P,R,RegFlow,SWE","{""P"": 4, ""R"": 2, ""RegFlow"": 1, ""SWE"": 5}","{""P"": 6, ""R"": 1, ""RegFlow"": 0}","{""P"": 6, ""R"": 1, ""RegFlow"": 1}","{""Kiskitto_Lake"": 1, ""Sipiwesk_Lake"": 0, ""Split_Lake"": 0}","{""Sipiwesk_Lake"": 1, ""Split_Lake"": 1}"
Playgreen_Lake,CCM_neighbor,"Sipiwesk_Lake,Split_Lake","{""_neighbor_Sipiwesk_Lake"": 1, ""_neighbor_Split_Lake"": 1}","{""P"": 6, ""R"": 1, ""RegFlow"": 0}","{""P"": 6, ""R"": 1, ""RegFlow"": 1}","{""Kiskitto_Lake"": 1, ""Sipiwesk_Lake"": 0, ""Split_Lake"": 0}","{""Sipiwesk_Lake"": 1, ""Split_Lake"": 1}"
Rainy_Lake,CCM_direct,RegFlow,"{""RegFlow"": 1}","{""RegFlow"": 1}","{""RegFlow"": 1}","{""Lake_of_the_Woods"": 0}","{""Lake_of_the_Woods"": 1}"
Rainy_Lake,CCM_ancestors,"Evap,P,R,RegFlow,SWE,T","{""Evap"": 3, ""P"": 1, ""R"": 1, ""RegFlow"": 1, ""SWE"": 2, ""T"": 4}","{""RegFlow"": 1}","{""RegFlow"": 1}","{""Lake_of_the_Woods"": 0}","{""Lake_of_the_Woods"": 1}"
Rainy_Lake,Stepwise,"Evap,P,R,RegFlow","{""Evap"": 1, ""P"": 1, ""R"": 1, ""RegFlow"": 1}","{""RegFlow"": 1}","{""RegFlow"": 1}","{""Lake_of_the_Woods"": 0}","{""Lake_of_the_Woods"": 1}"
Rainy_Lake,CCM_neighbor,Lake_of_the_Woods,"{""_neighbor_Lake_of_the_Woods"": 1}","{""RegFlow"": 1}","{""RegFlow"": 1}","{""Lake_of_the_Woods"": 0}","{""Lake_of_the_Woods"": 1}"
Sipiwesk_Lake,CCM_direct,RegFlow,"{""RegFlow"": 1}","{""RegFlow"": 1}","{""RegFlow"": 1}","{""Lake_of_the_Woods"": 3, ""Rainy_Lake"": 6, ""Split_Lake"": 1}","{""Lake_of_the_Woods"": 3, ""Rainy_Lake"": 6, ""Split_Lake"": 1}"
Sipiwesk_Lake,CCM_ancestors,"Evap,P,R,RegFlow,SWE,T","{""Evap"": 2, ""P"": 10, ""R"": 3, ""RegFlow"": 1, ""SWE"": 4, ""T"": 12}","{""RegFlow"": 1}","{""RegFlow"": 1}","{""Lake_of_the_Woods"": 3, ""Rainy_Lake"": 6, ""Split_Lake"": 1}","{""Lake_of_the_Woods"": 3, ""Rainy_Lake"": 6, ""Split_Lake"": 1}"
Sipiwesk_Lake,Stepwise,"Evap,P,R,RegFlow,T","{""Evap"": 1, ""P"": 9, ""R"": 2, ""RegFlow"": 1, ""T"": 7}","{""RegFlow"": 1}","{""RegFlow"": 1}","{""Lake_of_the_Woods"": 3, ""Rainy_Lake"": 6, ""Split_Lake"": 1}","{""Lake_of_the_Woods"": 3, ""Rainy_Lake"": 6, ""Split_Lake"": 1}"
Sipiwesk_Lake,CCM_neighbor,"Lake_of_the_Woods,Rainy_Lake,Split_Lake","{""_neighbor_Lake_of_the_Woods"": 3, ""_neighbor_Rainy_Lake"": 6, ""_neighbor_Split_Lake"": 1}","{""RegFlow"": 1}","{""RegFlow"": 1}","{""Lake_of_the_Woods"": 3, ""Rainy_Lake"": 6, ""Split_Lake"": 1}","{""Lake_of_the_Woods"": 3, ""Rainy_Lake"": 6, ""Split_Lake"": 1}"
Skaha_Lake,CCM_direct,,{},{},{},{},{}
Skaha_Lake,CCM_ancestors,,{},{},{},{},{}
Skaha_Lake,Stepwise,"P,R,T","{""P"": 1, ""R"": 1, ""T"": 11}",{},{},{},{}
Split_Lake,CCM_direct,"R,RegFlow","{""R"": 3, ""RegFlow"": 1}","{""R"": 3, ""RegFlow"": 1}","{""R"": 3, ""RegFlow"": 1}","{""Kiskitto_Lake"": 2, ""Lake_of_the_Woods"": 3, ""Playgreen_Lake"": 2, ""Rainy_Lake"": 3, ""Sipiwesk_Lake"": 2}","{""Lake_of_the_Woods"": 3, ""Playgreen_Lake"": 2, ""Rainy_Lake"": 3, ""Sipiwesk_Lake"": 2}"
Split_Lake,CCM_ancestors,"P,R,RegFlow,SWE","{""P"": 6, ""R"": 3, ""RegFlow"": 1, ""SWE"": 5}","{""R"": 3, ""RegFlow"": 1}","{""R"": 3, ""RegFlow"": 1}","{""Kiskitto_Lake"": 2, ""Lake_of_the_Woods"": 3, ""Playgreen_Lake"": 2, ""Rainy_Lake"": 3, ""Sipiwesk_Lake"": 2}","{""Lake_of_the_Woods"": 3, ""Playgreen_Lake"": 2, ""Rainy_Lake"": 3, ""Sipiwesk_Lake"": 2}"
Split_Lake,Stepwise,"Evap,P,R,RegFlow","{""Evap"": 1, ""P"": 9, ""R"": 1, ""RegFlow"": 1}","{""R"": 3, ""RegFlow"": 1}","{""R"": 3, ""RegFlow"": 1}","{""Kiskitto_Lake"": 2, ""Lake_of_the_Woods"": 3, ""Playgreen_Lake"": 2, ""Rainy_Lake"": 3, ""Sipiwesk_Lake"": 2}","{""Lake_of_the_Woods"": 3, ""Playgreen_Lake"": 2, ""Rainy_Lake"": 3, ""Sipiwesk_Lake"": 2}"
Split_Lake,CCM_neighbor,"Lake_of_the_Woods,Playgreen_Lake,Rainy_Lake,Sipiwesk_Lake","{""_neighbor_Lake_of_the_Woods"": 3, ""_neighbor_Playgreen_Lake"": 2, ""_neighbor_Rainy_Lake"": 3, ""_neighbor_Sipiwesk_Lake"": 2}","{""R"": 3, ""RegFlow"": 1}","{""R"": 3, ""RegFlow"": 1}","{""Kiskitto_Lake"": 2, ""Lake_of_the_Woods"": 3, ""Playgreen_Lake"": 2, ""Rainy_Lake"": 3, ""Sipiwesk_Lake"": 2}","{""Lake_of_the_Woods"": 3, ""Playgreen_Lake"": 2, ""Rainy_Lake"": 3, ""Sipiwesk_Lake"": 2}"
Vaseux_Lake,CCM_direct,"Evap,P,R,SWE","{""Evap"": 4, ""P"": 4, ""R"": 1, ""SWE"": 4}","{""Evap"": 4, ""P"": 4, ""R"": 1, ""RegFlow"": 1, ""SWE"": 4}","{""Evap"": 4, ""P"": 4, ""R"": 1, ""SWE"": 4}","{""Kalamalka_Lake"": 6, ""Okanagan_Lake"": 7, ""Skaha_Lake"": 4}","{""Kalamalka_Lake"": 6, ""Okanagan_Lake"": 7, ""Skaha_Lake"": 4}"
Vaseux_Lake,CCM_ancestors,"Evap,P,R,SWE","{""Evap"": 4, ""P"": 4, ""R"": 1, ""SWE"": 4}","{""Evap"": 4, ""P"": 4, ""R"": 1, ""RegFlow"": 1, ""SWE"": 4}","{""Evap"": 4, ""P"": 4, ""R"": 1, ""SWE"": 4}","{""Kalamalka_Lake"": 6, ""Okanagan_Lake"": 7, ""Skaha_Lake"": 4}","{""Kalamalka_Lake"": 6, ""Okanagan_Lake"": 7, ""Skaha_Lake"": 4}"
Vaseux_Lake,Stepwise,"Evap,P,R,SWE,T","{""Evap"": 2, ""P"": 2, ""R"": 1, ""SWE"": 2, ""T"": 3}","{""Evap"": 4, ""P"": 4, ""R"": 1, ""RegFlow"": 1, ""SWE"": 4}","{""Evap"": 4, ""P"": 4, ""R"": 1, ""SWE"": 4}","{""Kalamalka_Lake"": 6, ""Okanagan_Lake"": 7, ""Skaha_Lake"": 4}","{""Kalamalka_Lake"": 6, ""Okanagan_Lake"": 7, ""Skaha_Lake"": 4}"
Vaseux_Lake,CCM_neighbor,"Kalamalka_Lake,Okanagan_Lake,Skaha_Lake","{""_neighbor_Kalamalka_Lake"": 6, ""_neighbor_Okanagan_Lake"": 7, ""_neighbor_Skaha_Lake"": 4}","{""Evap"": 4, ""P"": 4, ""R"": 1, ""RegFlow"": 1, ""SWE"": 4}","{""Evap"": 4, ""P"": 4, ""R"": 1, ""SWE"": 4}","{""Kalamalka_Lake"": 6, ""Okanagan_Lake"": 7, ""Skaha_Lake"": 4}","{""Kalamalka_Lake"": 6, ""Okanagan_Lake"": 7, ""Skaha_Lake"": 4}"
