cause,effect,status,obs_lag,obs_rho,obs_n,p_value,null_mean,null_std,n_valid_surrogates,convergence_diagnostic_pass,kendall_tau,kendall_p,completed_at,lake,p_fdr,statistically_significant,lag_resolution,causal_evidence
SWE,Evap,OK,1,0.5025,331,0.001996007984031936,0.1098127,0.057880080757631985,500,True,1.0,5.5114638447971785e-06,2026-08-27T06:55:38,Kalamalka_Lake,0.004960493214753924,True,resolved,True
SWE,P,OK,3,0.37604,329,0.001996007984031936,0.1486069,0.061369005158874786,500,True,1.0,5.5114638447971785e-06,2026-08-27T06:47:42,Kalamalka_Lake,0.004960493214753924,True,resolved,True
SWE,R,OK,5,0.74437,329,0.001996007984031936,0.19940778,0.07125542212401524,500,True,1.0,5.5114638447971785e-06,2026-08-27T07:06:12,Kalamalka_Lake,0.004960493214753924,True,resolved,True
SWE,RegFlow,OK,11,0.351,324,0.011976047904191617,0.19922770000000004,0.06742501885583718,500,True,1.0,5.5114638447971785e-06,2026-08-27T07:03:19,Kalamalka_Lake,0.02418240442192538,True,resolved,True
SWE,T,OK,5,0.21389,326,0.1596806387225549,0.14505206,0.07097057285633532,500,True,0.5555555555555556,0.04461529982363316,2026-08-27T07:09:33,Kalamalka_Lake,0.21845559694942365,False,not_significant,False
SWE,WL,OK,3,0.34763,319,0.10179640718562874,0.27319648,0.058713834867172486,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T07:08:37,Kalamalka_Lake,0.1479394152870729,False,not_significant,False
T,Evap,OK,3,0.31526,331,0.001996007984031936,0.10582408000000001,0.04292577402160152,500,True,1.0,5.5114638447971785e-06,2026-08-27T06:45:39,Kalamalka_Lake,0.004960493214753924,True,resolved,True
T,P,OK,6,0.22753,329,0.02594810379241517,0.13355656,0.04501901642824285,500,True,1.0,5.5114638447971785e-06,2026-08-27T07:01:42,Kalamalka_Lake,0.04822213979121403,True,resolved,True
T,R,OK,7,0.16253,328,0.05189620758483034,0.07753066,0.04982791624947205,500,True,0.8333333333333334,0.0008542768959435626,2026-08-27T06:58:12,Kalamalka_Lake,0.08514221556886227,False,not_significant,False
T,RegFlow,OK,4,0.10311,331,0.6786427145708582,0.12806202000000003,0.0475759785618709,500,True,1.0,5.5114638447971785e-06,2026-08-27T07:00:43,Kalamalka_Lake,0.6968947191192187,False,not_significant,False
T,SWE,OK,0,0.19549,329,0.0718562874251497,0.12062666,0.04821121725744332,500,True,0.8888888888888888,0.00024250440917107584,2026-08-27T06:52:09,Kalamalka_Lake,0.11095456146530468,False,not_significant,False
T,WL,OK,4,0.17531,318,0.6027944111776448,0.18714124000000001,0.043595883269666645,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T08:58:09,Kalamalka_Lake,0.632934131736527,False,not_significant,False
WL,Evap,OK,-2,0.15593,325,0.3333333333333333,0.12880901999999997,0.06796834397599812,500,True,0.8888888888888888,0.00024250440917107584,2026-08-27T07:15:15,Kalamalka_Lake,0.39999999999999997,False,not_significant,False
WL,P,OK,-1,0.29286,324,0.04790419161676647,0.16259942000000002,0.07373358040854655,500,True,0.6666666666666666,0.012665343915343916,2026-08-27T06:57:30,Kalamalka_Lake,0.07952474497645028,False,not_significant,False
WL,R,OK,0,0.43514,325,0.001996007984031936,0.15469774,0.0744315277197264,500,True,0.7222222222222222,0.0058862433862433864,2026-08-27T06:47:02,Kalamalka_Lake,0.004960493214753924,True,unresolved_contemporaneous,True
WL,RegFlow,OK,1,0.63832,328,0.001996007984031936,0.18544069999999999,0.07160015632741314,500,True,0.6666666666666666,0.012665343915343916,2026-08-27T06:50:13,Kalamalka_Lake,0.004960493214753924,True,resolved,True
WL,SWE,OK,-3,0.31663,322,0.059880239520958084,0.1902481,0.07694056690062792,500,True,1.0,5.5114638447971785e-06,2026-08-27T07:11:14,Kalamalka_Lake,0.09635900612567967,False,not_significant,False
WL,T,OK,3,0.24105,322,0.3712574850299401,0.21095026,0.08699022468606687,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T06:47:02,Kalamalka_Lake,0.4272003937330818,False,not_significant,False
Evap,P,OK,-11,0.1901,322,0.06187624750499002,0.1246085,0.03968404928872557,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:51:49,Kiskitto_Lake,0.0991909311148695,False,not_significant,False
Evap,R,OK,-4,0.33629,325,0.007984031936127744,0.22343748,0.04320915304943618,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:37:57,Kiskitto_Lake,0.016766467065868262,True,rejected_reverse,False
Evap,RegFlow,OK,1,0.17195,330,0.3193612774451098,0.15298487999999996,0.04234466648098199,500,True,0.7222222222222222,0.0058862433862433864,2026-08-27T08:19:52,Kiskitto_Lake,0.38766397840157835,False,not_significant,False
Evap,SWE,OK,0,0.23027,330,0.00998003992015968,0.10774756,0.04471279048377992,500,True,0.7777777777777778,0.0024250440917107582,2026-08-27T08:41:49,Kiskitto_Lake,0.020446911055936906,True,unresolved_contemporaneous,True
Evap,T,OK,4,0.42899,328,0.001996007984031936,0.13424074000000003,0.04588163334115732,500,True,0.8888888888888888,0.00024250440917107584,2026-08-27T08:21:23,Kiskitto_Lake,0.004960493214753924,True,resolved,True
Evap,WL,OK,6,0.18714,278,0.3812375249500998,0.17648466000000002,0.04243568980568597,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:32:42,Kiskitto_Lake,0.43629362528349297,False,not_significant,False
